title,description
Superman,"Action, Adventure, Fantasy, Science Fiction. saving the world, journalist, dc comics, crime fighter, nuclear missile, galaxy, superhero, based on comic, criminal, sabotage, north pole, midwest, kryptonite, super powers, superhuman strength, aftercreditsstinger, save the day. Mild-mannered Clark Kent works as a reporter at the Daily Planet alongside his crush, Lois Lane − who's in love with Superman. Clark must summon his superhero alter ego when the nefarious Lex Luthor launches a plan to take over the world."
Die Hard: With a Vengeance,"Action, Thriller. bomb, taxi, riddle, robbery, detective, helicopter, gold, subway, ship, fistfight, police, sequel, deception, shootout, new york city, explosion, violence, car chase, fbi agent, simon says, flashback, dump truck, aqueduct, action hero, federal reserve bank. New York detective John McClane is back and kicking bad-guy butt in the third installment of this action-packed series, which finds him teaming with civilian Zeus Carver to prevent the loss of innocent lives. McClane thought he'd seen it all, until a genius named Simon engages McClane, his new ""partner"" -- and his beloved city -- in a deadly game that demands their concentration."
The Descent,"Adventure, Horror. mutant, expedition, cave, darkness, rope, climbing, bestie, appalachia, friends, female protagonist, survival horror. After a tragic accident, six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate, they find themselves in a desperate struggle to survive the creatures and each other."
The Hunger Games,"Science Fiction, Adventure, Fantasy. hallucination, dystopia, female protagonist, bow and arrow, knife throwing, knife fight, game, archery, blindness, glamour, roasted pig, sponsor, chariot, fictional tv show, mine explosion, based on young adult novel. Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching."
Meet Joe Black,"Fantasy, Drama, Mystery. life and death, love at first sight, broken engagement, fireworks, religion and supernatural, teenage crush, fate, doctor, millionaire. When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a ""vacation"" among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life."
Troy,"Adventure, Drama, War. brother brother relationship, adultery, mythology, beauty, trojan war, bravery, wall, fraud, hostility, epic, sword fight, battlefield, ancient world, pyre, ancient greece, trojan horse, trojan, bronze age, sparta greece, helen of troy. In year 1250 B.C. during the late Bronze age, two emerging nations begin to clash. Paris, the Trojan prince, convinces Helen, Queen of Sparta, to leave her husband Menelaus, and sail with him back to Troy. After Menelaus finds out that his wife was taken by the Trojans, he asks his brother Agamemnom to help him get her back. Agamemnon sees this as an opportunity for power. So they set off with 1,000 ships holding 50,000 Greeks to Troy. With the help of Achilles, the Greeks are able to fight the never before defeated Trojans."
Snow White and the Seven Dwarfs,"Fantasy, Animation, Family. poison, witch, becoming an adult, sadness, queen, attempted murder, dying and death, appearance, princess, candlelight vigil, snow white. A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own."
Cube,"Thriller, Science Fiction, Mystery. riddle, autism, claustrophobia, maze, prime number, entrapment, mathematics, murder, escape, violence, numbers, canuxploitation. Seven strangers are taken out of their daily lives and placed mysteriously in a deadly cube where they all agree they must find their way out."
Kung Fu Panda,"Adventure, Animation, Family, Comedy. china, martial arts, kung fu, mentor, snake, restaurant, shop, strong woman, bravery, tiger, turtle, panda, sensei, anthropomorphism, fighting, ancient china, monkey, master, destiny, evil, aftercreditsstinger, monkey warrior, noodle. When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try."
Big,"Fantasy, Drama, Comedy, Romance, Family. baseball, co-worker, bronx, pinball machine, toy maker, duet, job promotion, homesick, new toy, quarter, unplugged electronic works, yankee stadium bronx new york city, walking on piano keys, wish fulfillment, bunk bed, woman director. A young boy, Josh Baskin makes a wish at a carnival machine to be big. He wakes up the following morning to find that it has been granted and his body has grown older overnight. But he is still the same 13-year-old boy inside. Now he must learn how to cope with the unfamiliar world of grown-ups including getting a job and having his first romantic encounter with a woman. What will he find out about this strange world?"
Serial (Bad) Weddings,"Comedy. france, marriage, racism. A catholic French couple sees their life upside down when their four daughters get married to men of different religion and origins."
The Rock,"Action, Adventure, Thriller. san francisco, fbi, gas attack, alcatraz, hostage situation, fbi agent. A group of renegade marine commandos seizes a stockpile of chemical weapons and takes over Alcatraz, with 81 tourists as hostages. Their leader demands $100 million to be paid, as restitution to families of Marines who died in covert ops – or he will launch 15 rockets carrying deadly VX gas into the San Francisco Bay area."
Lady and the Tramp,"Family, Animation. cat, spaghetti, lover (female), kiss, animation, dog. Lady, a golden cocker spaniel, meets up with a mongrel dog who calls himself the Tramp. He is obviously from the wrong side of town, but happenings at Lady's home make her decide to travel with him for a while."
